lsoa,imd_score
E01000959,39.385
E01000960,18.194
E01000961,28.044
E01000962,5.572
E01000963,10.99
E01000964,18.156
E01000965,16.999
E01000966,4.022
E01000967,7.868
E01000968,13.607
E01000969,11.088
E01000970,15.192
E01000971,11.244
E01000972,33.353
E01000973,21.503
E01000974,34.573
E01000975,17.838
E01000976,34.127
E01000977,29.52
E01000978,22.4
E01000979,20.195
E01000980,27.253
E01000981,19.125
E01000982,22.168
E01000983,14.624
E01000984,33.796
E01000985,8.496
E01000986,13.499
E01000987,8.556
E01000989,10.232
E01000990,41.368
E01000991,7.277
E01000992,31.418
E01000993,15.07
E01000994,20.865
E01000995,24.866
E01000996,18.894
E01000997,23.466
E01000998,38.107
E01000999,20.457
E01001000,31.163
E01001001,34.182
E01001002,23.757
E01001003,24.807
E01001004,26.857
E01001005,29.783
E01001006,27.954
E01001007,21.816
E01001008,31.608
E01001009,25.451
E01001010,33.938
E01001011,43.978
E01001012,41.57
E01001013,47.906
E01001015,24.758
E01001016,8.572
E01001017,4.653
E01001018,4.381
E01001019,4.289
E01001020,8.195
E01001021,35.666
E01001022,5.769
E01001023,19.391
E01001024,10.342
E01001025,4.108
E01001026,13.459
E01001027,4.06
E01001028,4.394
E01001029,13.948
E01001030,5.129
E01001031,3.923
E01001032,3.098
E01001033,18.242
E01001034,15.141
E01001035,18.684
E01001036,6.617
E01001037,26.344
E01001038,17.512
E01001039,5.748
E01001040,20.546
E01001041,27.041
E01001042,36.017
E01001044,9.459
E01001046,10.165
E01001047,25.553
E01001049,6.479
E01001050,20.244
E01001051,39.849
E01001052,43.689
E01001053,33.728
E01001054,35.509
E01001055,39.099
E01001056,45.524
E01001057,48.6
E01001058,13
E01001059,18.574
E01001060,20.66
E01001061,21.835
E01001062,11.255
E01001063,7.989
E01001064,8.429
E01001065,16.587
E01001066,39.937
E01001067,3.424
E01001068,15.639
E01001069,5.319
E01001070,15.479
E01001071,10.744
E01001072,4.879
E01001073,13.24
E01001074,18.34
E01001075,13.704
E01001076,41.552
E01001077,16.852
E01001078,38.768
E01001079,44.195
E01001080,60.528
E01001081,31.348
E01001082,33.742
E01001083,9.212
E01001084,9.694
E01001085,21.414
E01001086,14.713
E01001087,31.63
E01001088,16.491
E01001089,28.021
E01001090,25.014
E01001091,14.186
E01001092,17.849
E01001093,13.807
E01001094,4.118
E01001095,19.188
E01001096,3.62
E01001097,27.97
E01001098,3.585
E01001099,20.105
E01001100,6.829
E01001101,1.602
E01001102,5.353
E01001103,4.02
E01001104,4.881
E01001105,12.469
E01001106,11.44
E01001107,5.336
E01001108,1.969
E01001109,32.503
E01001110,39.724
E01001111,26.324
E01001112,29.416
E01001113,29.981
E01001114,40.568
E01001115,37.307
E01001116,32.404
E01001118,42.711
E01001119,3.825
E01001120,7.973
E01001121,5.335
E01001122,3.243
E01001123,2.647
E01001124,2.666
E01001125,12.563
E01001126,5.686
E01001127,5.977
E01001128,36.682
E01001129,3.326
E01001130,42.383
E01001131,13.703
E01001132,8.599
E01001133,9.831
E01001134,8.314
E01001135,7.963
E01001136,30.688
E01001137,15.96
E01001138,19.938
E01001139,17.755
E01001140,18.042
E01001141,28.357
E01001142,19.729
E01001143,29.36
E01001144,29.529
E01001145,44.118
E01001146,20.736
E01001147,33.06
E01001148,22.653
E01001149,17.618
E01001150,16.8
E01001151,39.877
E01001152,35.942
E01001153,24.46
E01001154,34.51
E01001155,50.88
E01001156,21.721
E01001157,19.046
E01001158,20.695
E01001159,14.075
E01001160,16.894
E01001161,39.192
E01001162,25.743
E01001163,15.575
E01001164,23.246
E01001165,22.115
E01001166,34.935
E01001167,21.076
